recipe_id,ingredient,quantity,unit,step,cuisine,nutrition,tags
24,point five bushels one zero point two five six three two one one point five zero point five one tablespoon two tablespoons one teaspoon,0,zero,['cook'],Other,unknown,['None']
25,point five pounds one zero point seven five one zero point two five zero point two five teaspoons one point five teaspoons,0,one,"['bake', 'mix']",Other,unknown,['None']
26,pounds zero point five teaspoons one teaspoon zero point five two one two teaspoons one teaspoon three one,0,two,[],Other,unknown,['None']
27,pounds zero point five zero point seven five inches zero point one two five inches three point five four inches two tablespoons one fifteen ounces zero point three three three three three three three three three three three three three three three three two tablespoons one tablespoon one tablespoon one,0,two,"['cook', 'serve']",Other,unknown,['None']
28,fourteen ounces one twelve ounces one one ounce one point five one teaspoon,0,one,['stir'],Other,unknown,['None']
29,pound one peck grams one one one four one zero point five zero point five,0,one,"['bake', 'boil', 'mix', 'stir']",Other,unknown,['None']
30,two tablespoons one peck grams one tablespoon three tablespoons two,0,one,"['bake', 'mix', 'stir']",Other,unknown,['None']
31,two one one quart two two four one pound one pound,0,two,"['mix', 'slice', 'dice']",Other,unknown,['None']
32,peck grams zero point five zero point three three three three three three three three three three three three three three three three two tablespoons two tablespoons,0,one,[],Other,unknown,['None']
33,one one one,0,two,"['bake', 'mix']",Other,unknown,['None']
34,one teaspoon zero point two five teaspoons two zero point five minutes of arc minute of arc three one zero point three three three three three three three three three three three three three three three three,0,three,"['bake', 'stir']",Other,unknown,['None']
35,one one one,0,one,"['mix', 'serve']",Other,unknown,['None']
36,one one,0,two,"['chop', 'bake', 'mix', 'serve']",Other,unknown,['None']
37,ounces one peck grams ten ounces four six ounces,0,sixteen,"['bake', 'mix', 'serve']",Other,unknown,['None']
38,pound zero point five one,0,one,[],Other,unknown,['None']
39,sixteen ounces zero point five one three ounces one eight ounces one eight ounces,0,one,"['chop', 'boil', 'stir']",Other,unknown,['None']
40,pounds seven two zero point five teaspoons zero point five teaspoons,0,seven,[],Other,unknown,['None']
41,pounds four two one sixteen ounces one sixteen ounces one sixteen ounces one sixteen ounces one sixteen ounces one forty-six ounces one one tablespoon one tablespoon one tablespoon,0,three,"['mix', 'cook']",Other,unknown,['None']
42,tablespoons zero point five one one one point two five teaspoons zero point two five teaspoons zero point three three three three three three three three three three three three three three three three zero point two five teaspoons zero point three three three three three three three three three three three three three three three three zero point five teaspoons two tablespoons,0,three,"['bake', 'mix']",Other,unknown,['None']
43,three tablespoons four teaspoons one point five peck grams two one teaspoon one point five zero point five,0,five,"['mix', 'stir']",Other,unknown,['None']
44,two tablespoons zero point two five one,0,eight,['bake'],Other,unknown,['None']
45,zero point two five zero point two five zero point five two zero point five,0,one,"['bake', 'mix']",Other,unknown,['None']
46,one zero point five four one,0,one,"['bake', 'mix']",Other,unknown,['None']
47,six point five ounces one tablespoon,0,three,"['bake', 'stir']",Other,unknown,['None']
48,point two five zero point two five zero point two five zero point one two five teaspoons one one one peck grams one,0,zero,"['saute', 'bake', 'stir', 'cook']",Other,unknown,['None']
49,point five zero point five teaspoons zero point five teaspoons zero point five zero point six six six six six six six six six six six six six six six six three one teaspoon,0,one,"['bake', 'mix']",Other,unknown,['None']
50,point five pounds two one teaspoon one peck grams one pound one eight ounces one ten ounces,0,zero,"['boil', 'mix', 'stir', 'serve']",Other,unknown,['None']
51,one one one one one one one peck grams,0,four,"['bake', 'mix', 'dice']",Other,unknown,['None']
52,zero point five zero point two five two tablespoons zero point five one tablespoon two teaspoons one teaspoon zero point two five teaspoons,0,four,['mix'],Other,unknown,['None']
53,pounds one point five zero point five zero point three three three three three three three three three three three three three three three three one tablespoon two teaspoons two teaspoons one teaspoon zero point two five teaspoons four drops,0,two,"['bake', 'stir']",Other,unknown,['None']
54,one one one zero point five zero point six six six six six six six six six six six six six six six six zero point three three three three three three three three three three three three three three three three,0,one,['mix'],Other,unknown,['None']
55,sixteen point five ounces one sixteen point five ounces one eight ounces one eight point five ounces one,0,one,"['bake', 'mix']",Other,unknown,['None']
56,pound zero point three three three three three three three three three three three three three three three three one two zero point five teaspoons zero point five teaspoons zero point three three three three three three three three three three three three three three three three one,0,one,['bake'],Other,unknown,['None']
57,one teaspoon one one one,0,one,['cook'],Other,unknown,['None']
58,tablespoon two shakes three shakes one teaspoon two tablespoons one,0,one,['mix'],Other,unknown,['None']
59,eight ounces zero point five eight ounces two four tonne hour inch light-years zero point five one one one zero point five,0,two,"['mix', 'serve']",Other,unknown,['None']
60,point five pounds zero point five zero point five pounds two zero point five,0,zero,['mix'],Other,unknown,['None']
61,pound two two two one teaspoon one teaspoon,0,one,"['bake', 'mix']",Other,unknown,['None']
62,two one one two eight ounces one pound,0,one,"['bake', 'mix']",Other,unknown,['None']
63,four five,0,one,[],Other,unknown,['None']
64,one one one zero point five one point five,0,one,"['bake', 'mix']",Other,unknown,['None']
65,eight ounces one zero point five zero point three three three three three three three three three three three three three three three three zero point three three three three three three three three three three three three three three three three,0,one,['slice'],Other,unknown,['None']
66,eight ounces one eight ounces two tablespoons two tablespoons,0,one,['mix'],Other,unknown,['None']
67,one one point two five one point two five zero point two five zero point seven five one teaspoon,0,four,['blend'],Other,unknown,['None']
68,ounces two peck grams two nine inches one point seven five twelve ounces,0,sixteen,[],Other,unknown,['None']
69,one point five zero point two five,0,one,['mix'],Other,unknown,['None']
70,one point five teaspoons zero point two five teaspoons zero point five one point five two zero point five one teaspoon one,0,two,"['bake', 'mix']",Other,unknown,['None']
71,two one one two tablespoons two three two teaspoons one teaspoon one teaspoon one teaspoon one teaspoon one,0,three,"['bake', 'boil', 'stir', 'blend', 'cook']",Other,unknown,['None']
72,zero point five zero point seven five one one eight ounces one two,0,six,"['bake', 'mix', 'stir', 'dice']",Other,unknown,['None']
74,point six six six six six six six six six six six six six six six five zero point six six six six six six six six six six six six six six six six zero point six six six six six six six six six six six six six six six six two one teaspoon one,0,two,"['boil', 'stir']",Other,unknown,['None']
75,point five one teaspoon zero point two five one zero point five one,0,zero,['mix'],Other,unknown,['None']
76,one pound eight ounces,0,two,"['bake', 'mix']",Other,unknown,['None']
77,one two,0,one,"['season', 'cook']",Other,unknown,['None']
78,point five two two tablespoons one pound two tablespoons two tablespoons two tablespoons one point five tablespoons one teaspoon one point five teaspoons one one,0,zero,[],Other,unknown,['None']
79,thirteen point seven five ounces one tablespoon one two tablespoons zero point two five inches,0,two,"['stir', 'cook']",Other,unknown,['None']
80,point five gallons one teaspoon one teaspoon one one,0,zero,[],Other,unknown,['None']
81,tablespoon two teaspoons two tablespoons two tablespoons four four ounces zero point five minutes of arc minute of arc,0,one,"['stir', 'grill', 'cook']",Other,unknown,['None']
82,one sixteen ounces two one six sets six,0,one,"['saute', 'bake', 'mix']",Other,unknown,['None']
83,twelve ounces two one one one one three ounces zero point five,0,one,"['mix', 'stir']",Other,unknown,['None']
84,one one one four ounces zero point five,0,one,['bake'],Other,unknown,['None']
85,three ounces two tablespoons two tablespoons one sixteen ounces zero point seven five zero point five one,0,two,['mix'],Other,unknown,['None']
86,pounds one fifteen ounces two zero point five three zero point five teaspoons,0,two,"['dice', 'serve']",Other,unknown,['None']
87,point three three three three three three three three three three three three three three three three one point two five teaspoons zero point five teaspoons two tablespoons zero point seven five tablespoons one zero point six six six six six six six six six six six six six six six six,0,one,"['fry', 'mix', 'serve']",Other,unknown,['None']
88,pounds one one one pound one pound one tablespoon,0,four,['mix'],Other,unknown,['None']
89,pounds three one pint three two one peck grams one,0,three,"['bake', 'stir', 'cook']",Other,unknown,['None']
90,peck grams two eight ounces one tablespoon one tablespoon one tablespoon one teaspoon two teaspoons,0,two,['mix'],Other,unknown,['None']
91,six ounces zero point six six six six six six six six six six six six six six six six one eight ounces two one two twenty ounces one zero point six six six six six six six six six six six six six six six six,0,one,['blend'],Other,unknown,['None']
92,three zero point five teaspoons three five two zero point five one one two tablespoons three,0,three,"['bake', 'mix', 'stir']",Other,unknown,['None']
93,zero point five one one two tablespoons,0,two,['bake'],Other,unknown,['None']
94,eight ounces one point five one one one point five,0,one,[],Other,unknown,['None']
95,one one zero point five,0,one,['bake'],Other,unknown,['None']
96,one pound zero point five zero point five zero point seven five zero point three three three three three three three three three three three three three three three three one teaspoon zero point three three three three three three three three three three three three three three three three teaspoons one pound one tablespoon,0,three,"['bake', 'mix', 'cook']",Other,unknown,['None']
97,two tablespoons zero point five two one point two five three zero point two five two tablespoons zero point two five teaspoons zero point two five two tablespoons one tablespoon one eight ounces,0,two,"['saute', 'cook', 'serve']",Other,unknown,['None']
98,ten one zero point five zero point five zero point two five one,0,eight,[],Other,unknown,['None']
99,one one,0,one,"['bake', 'mix']",Other,unknown,['None']
100,two zero point three three three three three three three three three three three three three three three three one one zero point five,0,one,"['bake', 'mix']",Other,unknown,['None']
101,one teaspoon one teaspoon one tablespoon one three tablespoons one,0,one,"['mix', 'stir', 'cook']",Other,unknown,['None']
102,point two five zero point two five pounds one one zero point two five one four two one one ten ounces zero point five teaspoons,0,zero,"['saute', 'cook']",Other,unknown,['None']
103,two tablespoons two one tablespoon one tablespoon,0,one,['cook'],Other,unknown,['None']
104,pounds six zero point five three tablespoons two teaspoons zero point two five teaspoons one one four,0,four,"['fry', 'boil', 'stir', 'blend']",Other,unknown,['None']
105,tablespoons two one pound one three one twenty-eight ounces one three one one one zero point five teaspoons zero point two five teaspoons,0,two,['saute'],Other,unknown,['None']
106,one pound two ounces one peck grams two one teaspoon two teaspoons zero point five,0,one,"['mix', 'stir', 'serve']",Other,unknown,['None']
107,one pound,0,one,"['bake', 'cook']",Other,unknown,['None']
108,point five zero point five one two one point five teaspoons two point five one teaspoon zero point five teaspoons,0,zero,"['bake', 'mix']",Other,unknown,['None']
109,one zero point five zero point five zero point seven five one zero point two five zero point two five,0,one,['stir'],Other,unknown,['None']
110,pound one one one one zero point seven five one one tablespoon one teaspoon zero point five two tablespoons zero point six six six six six six six six six six six six six six six six one teaspoon zero point five teaspoons,0,one,['serve'],Other,unknown,['None']
111,two one two zero point five teaspoons one teaspoon,0,four,"['bake', 'mix']",Other,unknown,['None']
112,one zero point seven five one six point five ounces one one zero point five zero point five,0,one,"['bake', 'stir', 'serve']",Other,unknown,['None']
113,point five pounds one eight ounces one one tablespoon one tablespoon zero point five teaspoons,0,zero,"['mix', 'serve']",Other,unknown,['None']
114,eight ounces zero point six six six six six six six six six six six six six six six six one four zero point five,0,two,"['chop', 'mix', 'serve']",Other,unknown,['None']
115,point five eight ounces two two two one one zero point five pounds one eight ounces zero point seven five,0,three,['cook'],Other,unknown,['None']
116,nine ounces two tablespoons three one pound zero point two five inches four two two tablespoons two one tablespoon two zero point two five,0,one,"['stir', 'cook']",Other,unknown,['None']
117,pound one teaspoon one sixteen ounces one eight ounces two teaspoons two teaspoons two one five ounces one one three ounces six one,0,one,"['stir', 'blend', 'cook']",Other,unknown,['None']
118,twelve point five ounces two one one one zero point five teaspoons zero point one two five teaspoons one teaspoon,0,one,[],Other,unknown,['None']
119,one point five one tablespoon one tablespoon four one teaspoon,0,one,"['bake', 'mix']",Other,unknown,['None']
120,pound one pound two one one zero point five zero point seven five,0,one,"['mix', 'cook']",Other,unknown,['None']
121,zero point three three three three three three three three three three three three three three three three one teaspoon three tablespoons one,0,two,[],Other,unknown,['None']
122,thirteen ounces one ten ounces one ten ounces one ten ounces one two one sixteen ounces one tablespoon,0,one,"['mix', 'cook']",Other,unknown,['None']
123,eight ounces four zero point three three three three three three three three three three three three three three three three one teaspoon zero point one two five teaspoons zero point one two five teaspoons zero point one two five teaspoons zero point five zero point two five zero point two five zero point five,0,two,"['mix', 'serve']",Other,unknown,['None']
124,one zero point five,0,one,"['mix', 'serve']",Other,unknown,['None']
125,zero point five zero point two five one point five zero point five two teaspoons zero point five teaspoons one,0,one,"['bake', 'stir', 'serve']",Other,unknown,['None']
126,one zero point five one one one two three,0,one,"['bake', 'mix']",Other,unknown,['None']
127,zero point five one teaspoon one four,0,one,"['bake', 'boil', 'slice']",Other,unknown,['None']
128,two zero point five teaspoons eight ten,0,one,"['fry', 'mix']",Other,unknown,['None']
129,pounds one peck grams one three one two fifteen ounces two fifteen ounces two zero point five zero point five one teaspoon one one tablespoon,0,two,"['bake', 'fry', 'stir']",Other,unknown,['None']
130,forty-six ounces one point two five seven tablespoons one,0,one,"['boil', 'mix', 'stir', 'cook']",Other,unknown,['None']
131,one eight ounces zero point two five three four ounces,0,one,['bake'],Other,unknown,['None']
132,point five one one one four ounces four six,0,zero,"['bake', 'mix']",Other,unknown,['None']
133,one one,0,one,"['bake', 'mix', 'serve']",Other,unknown,['None']
134,point two five pounds two point five pounds one quart three one quart three two tablespoons one one point five teaspoons one teaspoon,0,zero,['slice'],Other,unknown,['None']
135,seven one two tablespoons one teaspoon,0,six,['bake'],Other,unknown,['None']
136,pound one three tablespoons one tablespoon two tablespoons,0,one,[],Other,unknown,['None']
137,three five three three tablespoons zero point seven five seven,0,three,"['bake', 'mix', 'cook']",Other,unknown,['None']
138,one eight ounces zero point six six six six six six six six six six six six six six six six one two tablespoons zero point five teaspoons one tablespoon two teaspoons three tablespoons,0,one,['mix'],Other,unknown,['None']
139,zero point five three tablespoons three three one centilitre atomic mass unit megapixels two tablespoons one teaspoon one,0,two,"['mix', 'cook']",Other,unknown,['None']
140,thirty-two ounces two pounds one one one one one,0,one,"['bake', 'mix']",Other,unknown,['None']
141,point seven five two point five tablespoons one three point five tablespoons four one nine inches,0,zero,"['stir', 'cook', 'serve']",Other,unknown,['None']
142,ounces two zero point seven five one one three eight ounces one,0,sixteen,"['mix', 'stir', 'cook']",Other,unknown,['None']
143,point seven five one zero point five tablespoons zero point five tablespoons zero point five tablespoons,0,zero,"['mix', 'serve']",Other,unknown,['None']
144,point five one tablespoon five ounces zero point five one peck grams two six ounces,0,zero,"['bake', 'fry', 'mix', 'stir', 'cook']",Other,unknown,['None']
145,one one point five zero point five one one one point five pounds fourteen ounces one one teaspoon one one,0,one,"['boil', 'slice', 'cook']",Other,unknown,['None']
146,point two five two two two one teaspoon two one teaspoon one zero point five,0,zero,['bake'],Other,unknown,['None']
147,point five one point five one fourteen ounces six ounces one three point five ounces one point five one,0,zero,['bake'],Other,unknown,['None']
148,one zero point three three three three three three three three three three three three three three three three zero point five one point five one point five,0,one,"['stir', 'cook']",Other,unknown,['None']
149,one one one zero point five,0,one,[],Other,unknown,['None']
150,point three three three three three three three three three three three three three three three three six tablespoons six tablespoons zero point five zero point five teaspoons,0,one,['boil'],Other,unknown,['None']
151,one fourteen ounces two one sixteen ounces one teaspoon zero point five teaspoons zero point five teaspoons two,0,one,['stir'],Other,unknown,['None']
152,zero point two five zero point two five teaspoons zero point six six six six six six six six six six six six six six six six zero point three three three three three three three three three three three three three three three three zero point five zero point five teaspoons,0,five,['mix'],Other,unknown,['None']
153,one one point five zero point five zero point two five one teaspoon,0,nine,['stir'],Other,unknown,['None']
154,sixteen ounces one four ounces one four ounces two sixteen ounces two zero point two five,0,one,"['chop', 'bake', 'mix', 'serve']",Other,unknown,['None']
155,one one three tablespoons one peck grams one one,0,one,['serve'],Other,unknown,['None']
156,one three peck grams two tablespoons two one,0,four,['bake'],Other,unknown,['None']
157,one three one one zero point seven five one point five one point five teaspoons one point five,0,two,"['bake', 'mix', 'stir']",Other,unknown,['None']
158,one peck grams ten ounces two three zero point three three three three three three three three three three three three three three three three one one zero point five zero point five zero point two five four ounces two three,0,three,['boil'],Other,unknown,['None']
159,point five one two zero point five one zero point five zero point two five pounds eight two one one teaspoon one teaspoon one teaspoon zero point five teaspoons zero point five teaspoons zero point five teaspoons one,0,zero,"['saute', 'boil']",Other,unknown,['None']
160,one one tablespoon one peck grams one three zero point five one eight ounces zero point seven five one peck grams,0,one,"['bake', 'mix', 'serve']",Other,unknown,['None']
161,one three two two two teaspoons one,0,two,"['bake', 'mix']",Other,unknown,['None']
162,quart one quart one one six ounces three,0,one,['mix'],Other,unknown,['None']
163,two two four six two,0,four,"['bake', 'mix']",Other,unknown,['None']
164,one four two point five zero point five one teaspoon one tablespoon,0,two,['bake'],Other,unknown,['None']
165,one point five two teaspoons one teaspoon zero point five teaspoons two zero point five zero point five zero point five one eight ounces one three two teaspoons,0,two,"['bake', 'stir']",Other,unknown,['None']
166,point seven five one ten point seven five ounces one ten point seven five ounces two point five ounces zero point five four two tablespoons zero point two five,0,one,[],Other,unknown,['None']
167,one two tablespoons one tablespoon one teaspoon one teaspoon one sixteen ounces one sixteen ounces,0,one,"['saute', 'stir', 'serve']",Other,unknown,['None']
168,three one one one point seven five zero point seven five teaspoons one point two five teaspoons one,0,two,"['bake', 'mix']",Other,unknown,['None']
170,two pounds zero point five zero point five teaspoons zero point five teaspoons zero point five one one pint ten ounces two,0,one,"['bake', 'mix']",Other,unknown,['None']
171,four point five teaspoons two tablespoons zero point five teaspoons zero point seven five zero point seven five one one,0,three,"['bake', 'stir']",Other,unknown,['None']
172,pound one one one peck grams eight one,0,one,"['bake', 'boil', 'stir', 'cook']",Other,unknown,['None']
173,pounds two three stere year litre kibibytes zero point five zero point five eight,0,four,"['boil', 'stir', 'slice']",Other,unknown,['None']
174,two one teaspoon zero point two five one point seven five zero point five one point five,0,four,"['bake', 'mix']",Other,unknown,['None']
176,two teaspoons zero point five teaspoons two tablespoons one one three tablespoons,0,one,[],Other,unknown,['None']
177,zero point six six six six six six six six six six six six six six six six one teaspoon four,0,one,"['bake', 'mix']",Other,unknown,['None']
178,pound fourteen ounces two one zero point seven five one point five two,0,one,"['bake', 'mix', 'stir']",Other,unknown,['None']
179,twelve ounces two one fourteen ounces one eight point five ounces one,0,one,['stir'],Other,unknown,['None']
180,peck grams zero point five zero point five one one,0,one,"['bake', 'cook']",Other,unknown,['None']
181,point two five one point five teaspoons zero point five teaspoons one zero point five one one teaspoon three one one six ounces,0,one,"['bake', 'mix', 'stir']",Other,unknown,['None']
182,pound two tablespoons one one one one one one point five zero point two five zero point two five teaspoons one,0,one,"['bake', 'cook']",Other,unknown,['None']
183,pound two zero point five zero point five three zero point two five,0,one,['cook'],Other,unknown,['None']
184,one one zero point five teaspoons one pound zero point five one,0,four,"['mix', 'cook']",Other,unknown,['None']
185,one zero point seven five one zero point five,0,five,"['bake', 'mix']",Other,unknown,['None']
186,point five zero point five zero point five zero point five one zero point five teaspoons one point two five zero point seven five teaspoons zero point five teaspoons one ten ounces,0,zero,['bake'],Other,unknown,['None']
187,two zero point five teaspoons zero point five teaspoons zero point one two five teaspoons two one,0,four,"['bake', 'mix']",Other,unknown,['None']
188,point five one one teaspoon zero point five teaspoons zero point two five teaspoons zero point five one one point seven five one teaspoon zero point five teaspoons one one point two five,0,zero,"['bake', 'stir']",Other,unknown,['None']
189,three zero point five,0,three,"['boil', 'stir', 'slice']",Other,unknown,['None']
190,point five one four thirty-two four nine ounces twelve ounces one tablespoon two,0,zero,"['boil', 'stir']",Other,unknown,['None']
191,one point five zero point two five teaspoons one zero point five teaspoons one six ounces two one,0,three,"['bake', 'stir']",Other,unknown,['None']
192,point five one two tablespoons one teaspoon,0,zero,['blend'],Other,unknown,['None']
193,point five zero point two five one two zero point five zero point one two five teaspoons one teaspoon zero point five,0,zero,"['bake', 'mix', 'stir', 'whisk', 'serve']",Other,unknown,['None']
194,one one four three peck grams four one eight ounces twelve ounces,0,one,"['bake', 'boil', 'mix', 'cook']",Other,unknown,['None']
195,zero point five one,0,one,"['boil', 'stir']",Other,unknown,['None']
196,one three one pound one point five two tablespoons five,0,one,[],Other,unknown,['None']
197,teaspoons zero point five teaspoons one one teaspoon zero point two five teaspoons zero point five teaspoons three tablespoons,0,four,"['bake', 'mix']",Other,unknown,['None']
198,twenty ounces one eleven ounces two two one three two teaspoons two teaspoons one tablespoon zero point two five two zero point five,0,one,[],Other,unknown,['None']
199,quart zero point seven five one three tablespoons one tablespoon,0,one,"['mix', 'cook']",Other,unknown,['None']
200,five two two tablespoons two point five teaspoons one,0,two,['bake'],Other,unknown,['None']
201,five three one three tablespoons two tablespoons,0,four,"['boil', 'mix']",Other,unknown,['None']
202,pounds one one zero point five two tablespoons one tablespoon one tablespoon one teaspoon zero point five teaspoons,0,four,"['mix', 'roast', 'slice', 'serve']",Other,unknown,['None']
203,tablespoons one zero point five one point five one six ounces one eleven ounces one sixteen ounces zero point five one sixteen ounces two,0,three,"['blend', 'cook']",Other,unknown,['None']
204,one one two tablespoons zero point five teaspoons two teaspoons one one zero point two five,0,one,"['bake', 'mix', 'stir']",Other,unknown,['None']
205,four five pounds zero point five one tablespoon one teaspoon zero point five two one teaspoon,0,one,['roast'],Other,unknown,['None']
206,pounds one tablespoon one tablespoon six ten one four three teaspoons,0,two,"['fry', 'mix', 'dice', 'cook']",Other,unknown,['None']
207,point seven five one one peck grams four two zero point two five,0,zero,"['bake', 'mix']",Other,unknown,['None']
208,point five three teaspoons one one tablespoon two tablespoons one one twelve ounces one teaspoon zero point five one one one one,0,three,[],Other,unknown,['None']
209,tablespoons one tablespoon one one tablespoon two tablespoons one one tablespoon one teaspoon,0,two,[],Other,unknown,['None']
210,four one one eight ounces one pint one,0,two,"['mix', 'serve']",Other,unknown,['None']
211,point five zero point two five two zero point six six six six six six six six six six six six six six six six four tablespoons two teaspoons three tablespoons one two,0,two,"['boil', 'stir', 'whisk', 'cook']",Other,unknown,['None']
212,point five two teaspoons one teaspoon zero point five teaspoons zero point two five two,0,zero,['mix'],Other,unknown,['None']
213,point five zero point five zero point two five teaspoons zero point two five one sixteen ounces zero point three three three three three three three three three three three three three three three three zero point five three four tablespoons,0,one,[],Other,unknown,['None']
214,zero point six six six six six six six six six six six six six six six six two one point five one teaspoon one teaspoon one teaspoon one zero point five,0,one,"['bake', 'mix']",Other,unknown,['None']
215,six ounces one six ounces six zero point five one quart,0,one,"['stir', 'slice']",Other,unknown,['None']
216,zero point five zero point five zero point five zero point three three three three three three three three three three three three three three three three two zero point five zero point five,0,one,"['bake', 'mix']",Other,unknown,['None']
217,pound one eight ounces zero point one two five one teaspoon one teaspoon zero point five teaspoons zero point two five teaspoons zero point five teaspoons zero point one two five teaspoons two one,0,one,"['bake', 'stir']",Other,unknown,['None']
218,two two zero point five teaspoons two teaspoons one teaspoon two teaspoons one four two teaspoons one,0,two,"['bake', 'mix']",Other,unknown,['None']
219,point five pounds two two two tablespoons one point five teaspoons one point five teaspoons,0,one,[],Other,unknown,['None']
220,one pound one,0,one,['mix'],Other,unknown,['None']
221,one zero point five one tablespoon one one eight ounces one two peck grams three,0,one,"['bake', 'mix']",Other,unknown,['None']
222,pound one one one one one twelve ounces,0,one,"['bake', 'mix']",Other,unknown,['None']
223,one teaspoon zero point five teaspoons zero point five one two one teaspoon one zero point five one teaspoon zero point five one point two five,0,two,"['bake', 'mix', 'blend']",Other,unknown,['None']
224,point five zero point five zero point five two two teaspoons two point seven five two teaspoons one teaspoon zero point two five teaspoons two teaspoons,0,one,"['bake', 'mix', 'stir']",Other,unknown,['None']
225,pound three four two stere year litre kibibytes one two one zero point five,0,one,"['stir', 'cook']",Other,unknown,['None']
226,pound two one zero point five one teaspoon zero point five teaspoons two one teaspoon one two two point five one teaspoon,0,one,"['bake', 'mix']",Other,unknown,['None']
227,one point five two two one one ten ounces one,0,one,"['bake', 'mix', 'blend']",Other,unknown,['None']
228,one zero point six six six six six six six six six six six six six six six six one tablespoon one teaspoon one one point five teaspoons one one point two five teaspoons zero point one two five zero point two five,0,two,[],Other,unknown,['None']
229,zero point three three three three three three three three three three three three three three three three zero point five,0,one,"['bake', 'mix']",Other,unknown,['None']
230,point five one one one point five pounds four tablespoons one point five teaspoons one teaspoon one tablespoon one,0,zero,"['bake', 'mix', 'slice']",Other,unknown,['None']
231,peck grams eight ounces zero point six six six six six six six six six six six six six six six six one teaspoon zero point one two five teaspoons one,0,one,['stir'],Other,unknown,['None']
232,tablespoons one pound one peck grams zero point five one two tablespoons two teaspoons two one pound one one pound,0,two,"['bake', 'stir']",Other,unknown,['None']
233,one zero point three three three three three three three three three three three three three three three three one one teaspoon zero point five teaspoons zero point five one tablespoon one,0,one,"['bake', 'mix']",Other,unknown,['None']
234,one point five tablespoons six ounces,0,two,"['bake', 'mix']",Other,unknown,['None']
235,one one tablespoon one twenty-eight ounces one four ounces one two point two five ounces two teaspoons one pound twelve ounces two eight ounces one ten point seven five ounces zero point two five zero point two five,0,one,['saute'],Other,unknown,['None']
236,ten instances five zero point five zero point five one point five one teaspoon one teaspoon one,0,one,"['bake', 'mix']",Other,unknown,['None']
237,one two two one one,0,fourteen,"['mix', 'stir']",Other,unknown,['None']
238,three one one eight ounces one one teaspoon,0,one,"['bake', 'mix']",Other,unknown,['None']
239,one pound one tablespoon one tablespoon four three tablespoons one one teaspoon zero point one two five teaspoons,0,one,"['bake', 'mix']",Other,unknown,['None']
240,zero point five one two teaspoons three tablespoons one teaspoon four one teaspoon,0,three,"['bake', 'mix']",Other,unknown,['None']
241,twelve ounces one quart two five teaspoons one pound zero point five two one dozen,0,one,"['bake', 'stir']",Other,unknown,['None']
242,ounces two tablespoons two tablespoons one,0,twelve,['cook'],Other,unknown,['None']
243,six tablespoons two one point five two fifteen point five ounces one,0,one,"['bake', 'mix']",Other,unknown,['None']
244,two pounds three one point five teaspoons three one one ten ounces one one one zero point two five,0,one,['boil'],Other,unknown,['None']
245,eight ounces two tablespoons one teaspoon five six one six ounces one one,0,two,"['chop', 'mix', 'serve']",Other,unknown,['None']
